X	HV102_Abd	HV102_Eye	HV102_Leg	HV102_Meso	HV102_Ovi	HV102_Pro	HV102_Wing2	HV102_Wing3	HV3a_Abd	HV3a_Eye	HV3a_Leg	HV3a_Meso	HV3a_Ovi	HV3a_Pro	HV3a_Wing2	HV3a_Wing3	HV7_Abd	HV7_Leg	HV7_Meso	HV7_Pro	HV7_Wing2	id
HV102_Abd_TRINITY_DN17635_c0_g1	349	178	680	405	428	269	1227	1561	263	301	269	419	1217	228	915	2474	421	403	160	366	847	HV102_Abd_TRINITY_DN17635_c0_g1
HV102_Wing2_TRINITY_DN1817_c0_g1	46	38	108	35	38	61	45	28	25	102	123	72	24	45	15	28	47	37	8	24	6	HV102_Wing2_TRINITY_DN1817_c0_g1
HV102_Wing2_TRINITY_DN9717_c0_g1	1	13	12	11	12	21	28	20	1	3	21	1	10	10	6	8	1	1	0	0	8	HV102_Wing2_TRINITY_DN9717_c0_g1
HV102_Abd_TRINITY_DN19651_c0_g1	13.04	7.26	62.22	23.96	3.45	6.2	11.4	0	0	0	44.56	25.2	0	6.57	4.81	0	13.26	30.65	16.42	20.75	0	HV102_Abd_TRINITY_DN19651_c0_g1
HV102_Eye_TRINITY_DN18375_c0_g3	3.66	0	4.4	1.23	2.92	2.78	1.31	2.57	0	1.29	2.77	1.07	0	1.48	0	0	32.82	12.99	79.26	369.19	73.83	HV102_Eye_TRINITY_DN18375_c0_g3
HV102_Abd_TRINITY_DN21762_c1_g2	26.41	24.9	57.29	64.31	48.97	25.62	58.98	62.23	31.54	20.44	17.89	42.97	38.64	9.9	36.04	73.63	24.46	7.68	4.2	5.04	14.75	HV102_Abd_TRINITY_DN21762_c1_g2
HV102_Meso_TRINITY_DN12158_c0_g1	8	9	18	28	11	10	35	43	19	5	9	16	19	1	5	26	13	4	0	3	14	HV102_Meso_TRINITY_DN12158_c0_g1
HV102_Abd_TRINITY_DN12689_c0_g1	517	919.48	1437.57	1528.39	2151.35	925.41	1493.16	1728.79	915.07	901.18	625.82	1229.31	808	549.73	1196.73	1320	655.48	430.19	230	224.67	448.08	HV102_Abd_TRINITY_DN12689_c0_g1
HV102_Abd_TRINITY_DN18029_c1_g3	879.48	536.8	2080.65	1512	1877.56	1009.64	2351.56	2672.65	1033.23	357.33	872.11	560.33	926.15	512.26	834.1	1078.46	1251.75	505.21	213.37	344	1178.73	HV102_Abd_TRINITY_DN18029_c1_g3
HV102_Eye_TRINITY_DN21013_c2_g4	0	8	2	0	0	1	3	1	6	33	1	6	0	0	0	8	1	0	3	1	0	HV102_Eye_TRINITY_DN21013_c2_g4
HV102_Abd_TRINITY_DN19474_c0_g1	112	140	229	150	232	120	182	193	149	198	105	88	107	73	93	102	185	108	23	53	80	HV102_Abd_TRINITY_DN19474_c0_g1
HV102_Abd_TRINITY_DN17271_c0_g1	248	186	1272	710	1369	556	611	853	264	169	425	474	741	169	212	542	295	166	162	99	148	HV102_Abd_TRINITY_DN17271_c0_g1
HV102_Abd_TRINITY_DN6948_c0_g1	13	1	0	0	0	2	0	0	9	0	0	0	138	0	0	0	129	0	0	0	0	HV102_Abd_TRINITY_DN6948_c0_g1
HV102_Eye_TRINITY_DN16579_c0_g3	0	18	0	0	0	0	0	0	0	23	1	0	0	0	0	0	0	0	0	0	0	HV102_Eye_TRINITY_DN16579_c0_g3
HV102_Wing2_TRINITY_DN17547_c0_g1	15	35	47	64	111	31	85	95	29	29	13	13	12	15	22	11	32	14	6	5	33	HV102_Wing2_TRINITY_DN17547_c0_g1
HV102_Abd_TRINITY_DN17781_c0_g1	440	1	0	1	0	0	0	0	370	0	0	0	0	0	1	0	604	0	0	0	0	HV102_Abd_TRINITY_DN17781_c0_g1
HV102_Abd_TRINITY_DN19475_c3_g1	262	140	328	410	257	215	183	194	428	179	206	210	198	143	65	132	430	201	55	74	141	HV102_Abd_TRINITY_DN19475_c3_g1
HV102_Abd_TRINITY_DN21940_c1_g1	15	3.99	18	15	32	19	16	24	17	4	23	5	15	19	30.07	36	3	2	0	2	4	HV102_Abd_TRINITY_DN21940_c1_g1
HV102_Leg_TRINITY_DN12232_c0_g1	8	9	17	10	15	7	12	21	3	2	3	3	10	3	13	6	3	1	0	1	7	HV102_Leg_TRINITY_DN12232_c0_g1
HV102_Leg_TRINITY_DN20236_c0_g1	6	6	129	79	0	2	3	2999.94	4	73	74	3	3	3	28.93	122	2	1	36	3	35	HV102_Leg_TRINITY_DN20236_c0_g1
HV102_Eye_TRINITY_DN20415_c0_g1	1	443	59	14	24	50	46	11	9	610	58	6	5	35	20	13	2	1	0	5	0	HV102_Eye_TRINITY_DN20415_c0_g1
HV102_Wing3_TRINITY_DN31988_c2_g1	7.99	6	4	6.87	8	3	8	20.99	2	13	3	1	3	2	3.12	3.5	7	0	1	2	2	HV102_Wing3_TRINITY_DN31988_c2_g1
HV102_Abd_TRINITY_DN16145_c0_g2	476	522	1083	1026	987	566	1624	1779	531	620	671	318	452	386	377	549	718	412	80	149	541	HV102_Abd_TRINITY_DN16145_c0_g2
HV102_Wing3_TRINITY_DN3379_c0_g1	8	24	49	47	83	37	125	111	64	46	17	23	155	67	259	254	19	1	1	2	5	HV102_Wing3_TRINITY_DN3379_c0_g1
HV102_Wing2_TRINITY_DN26851_c0_g2	6	5	7	10	14	7	31	34	15	39	14	9	10	13	10	28	9	4	1	5	4	HV102_Wing2_TRINITY_DN26851_c0_g2
HV102_Wing3_TRINITY_DN24418_c0_g1	15	26	30	21	29	15	49	105	36	92	35	32	77	27	51	111	33	5	3	12	22	HV102_Wing3_TRINITY_DN24418_c0_g1
HV102_Wing3_TRINITY_DN11114_c0_g1	0	1	0	1	2	0	0	2	0	1	0	0	0	0	0	0	0	0	0	0	0	HV102_Wing3_TRINITY_DN11114_c0_g1
HV102_Abd_TRINITY_DN18365_c0_g1	1046	866	3656	3637	3779	2491	2959	3152	1373	732	1629	1697	1887	958	1689	3336	1245	1756	310	603	995	HV102_Abd_TRINITY_DN18365_c0_g1
HV102_Abd_TRINITY_DN17133_c0_g1	349	393	958	1061	1511	535	1045	1240	327	411	288	463	510	250	709	656	379	210	127	131	676	HV102_Abd_TRINITY_DN17133_c0_g1
HV102_Wing2_TRINITY_DN4301_c0_g1	8	21	24	54	23	27	152	176	19	74	28	22	28	24	15	49	16	3	10	4	30	HV102_Wing2_TRINITY_DN4301_c0_g1
HV102_Abd_TRINITY_DN19577_c0_g1	274	0	0	0	0	0	0	0	300	0	0	1	0	0	0	0	338	0	0	1	1	HV102_Abd_TRINITY_DN19577_c0_g1
HV102_Leg_TRINITY_DN16376_c0_g1	6	3	184	1	47	9	1	3	13	0	61	0	6	11	5	4	2	317	2	11	5	HV102_Leg_TRINITY_DN16376_c0_g1
HV102_Wing3_TRINITY_DN27364_c0_g1	4	2	3	1	12	0	12	21	8	19	11	12	5	3	3	8	10	0	0	0	1	HV102_Wing3_TRINITY_DN27364_c0_g1
